RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
102001,0,United States,country,,1244.2175453981902,1249.8982890911545,1256.1094817084581,1261.1751831652668,1265.8394491415193,1270.07747062603,1274.8739820698158,1280.141194755231,1285.8272467100464,1291.3423529513473,1296.5752355230297,1301.2639287805512,1305.0832059705815,1308.3915730292122,1310.5740952404537,1314.1755692923446,1317.9672581283924,1322.9284450273296,1326.9343188781686,1331.148785814503,1334.9800837228931,1338.9665915078867,1342.515202345633,1345.9506270708732,1350.9680533302878,1356.7810787911217,1363.9691682457294,1369.206605837087,1374.2601267219966,1378.3051192629396,1382.5766024679574,1386.1949723727832,1391.0263082043375,1395.1631010203535,1400.0784159674288,1404.969990137443,1410.2082658336653,1415.4650632036962,1419.8498520902922,1424.5967289382593,1428.5876202911572,1433.2804323125013,1438.144655390693,1443.5441645728517,1448.0159361302533,1453.4324834358172,1459.3100724393316,1465.146367760351,1469.5739748702224,1473.305104816548,1477.7687833242233,1482.7138764215158,1488.3731625504263,1493.7903914159292,1499.1756959881777,1504.4331535573692,1509.8934124934415,1514.9595045063288,1519.414116181848,1524.0039067292241,1529.2773992324658,1534.993361115001,1539.61409731123,1537.2670350720105,1532.5141858283562,1528.4402917941043,1528.9579341572933,1529.1163233018071,1529.9092624886619,1533.6221422376914,1539.730591102681,1547.6594086542775,1557.7485384315016,1568.7197676746694,1581.2966671143847,1597.8593040933292,1619.5739867518394,1644.567445843142,1670.2912588647985,1697.8715670305462,1725.3065594984612,1748.8186362659944,1768.842284096013,1786.6915781036057,1801.756377331233,1816.8816143302279,1829.5319377746166,1845.8728706728714,1860.2807698085858,1875.2475377341323,1887.2537960736117,1895.971025778047,1901.721811460236,1905.8870239534124,1910.2210804344083,1915.8966764580568,1921.3865513469566,1926.828023913126,1934.7065898468566,1940.3389271345986,1946.160909851633,1947.850569197552,1951.4332120427237,1955.508638912328,1960.1075275990397,1965.5862245651654,1970.181164019211,1975.7042234175135,1981.1598619014244,1987.0889765212796,1991.9938027269923,1997.3987246096058,2003.1990472533018,2009.7994774636634,2014.5104720798581,2019.653969700799,2025.4351351957725,2031.6186872001529,2038.5685088926075,2044.0038115399468,2049.56179290482,2054.204002204049,2058.3958614624303,2061.9099471286104,2064.8386400678964,2068.571227541049
394913,1,"New York, NY",msa,NY,2434.9210885143325,2451.100181225864,2465.5260868167916,2476.041728069087,2480.672901049563,2485.1601450119133,2490.1170698731466,2499.071401916404,2507.9661762159085,2516.6731629948754,2521.779047136918,2527.259039794849,2530.651371012148,2534.0383003980905,2534.6524308789417,2536.5106786895326,2539.6360332626555,2543.90357199195,2550.175531973384,2553.3344439111847,2558.1929763868607,2562.9640813324695,2572.8852231534993,2576.3550539680446,2579.642831970393,2579.3500754157853,2583.7590668397957,2586.8754926208417,2592.6804300160675,2595.815652246273,2599.625233823432,2600.825784398191,2603.994729751501,2603.262913748728,2603.5062149167375,2605.9099695843215,2611.5010244569035,2617.2752984486824,2621.837414048066,2629.798620795435,2634.835254363448,2639.5966483421503,2644.305601703952,2652.9191464740215,2660.352980246802,2665.3168365679967,2672.3872939745347,2678.3774294402288,2685.919957356144,2692.202338829123,2699.1948821162105,2704.348014320873,2710.6773677207652,2718.586491529189,2726.1511847280217,2732.7931780019326,2739.4041165463477,2750.153898239386,2758.2378729373077,2767.759482759166,2774.9928152906814,2784.244436544796,,,,,,,,2533.0005422371105,2518.984142177668,2518.3850709892613,2522.098429027098,2530.825616076412,2542.963225243555,2562.7252373263254,2595.128775284887,2636.912331957973,2688.129101184831,2749.549104189608,2812.693357237887,2869.422624967536,2919.823383621799,2961.6502679347936,2996.3419255945087,3025.6852313238487,3054.3333783326407,3083.8225992670955,3116.137158979598,3149.260990052531,3183.493769004407,3210.6277846825797,3228.7706504449698,3237.1884015337355,3240.3910099455643,3242.946669587998,3249.405418168073,3257.971094620227,3270.6330730589393,3287.8478793861354,3302.9164818969316,3312.4213251168067,3320.037209670898,3328.9315573639756,3342.2895739922924,3353.3464594693414,3360.738237626343,3369.2740863500962,3381.184980628469,3395.310521796458,3409.05956134091,3419.014529199059,3430.1202225264396,3436.8466636309186,3441.569322204507,3446.8761262872245,3452.7643183316845,3466.158245391196,3485.586827665906,3505.3989664057235,3521.3864888952376,3534.9294951848074,3546.1243128433607,3557.1013676814937,3567.0111714251802,3582.655047142907
753899,2,"Los Angeles, CA",msa,CA,1831.131780504891,1841.475353529071,1853.4289288333075,1863.3396801798651,1871.3533703704009,1879.9458469489414,1889.8648231588156,1901.3557111947346,1914.1392936569719,1925.2340164925354,1937.9784724184562,1949.920849648949,1960.2471497722595,1967.935678276847,1974.2503045714811,1981.3084203678204,1990.802800827838,2001.1756790000663,2011.484278882306,2019.1562835227464,2027.3093479686577,2035.0090850199392,2042.666501097631,2051.3213929996623,2064.3395416219046,2078.5216190039528,2094.0541465377823,2105.1896731196366,2114.5315908230127,2121.5288521600132,2129.502217958254,2136.2999858826206,2145.056449257067,2152.1127847917883,2161.6985875961345,2170.144526565802,2180.5363025896218,2190.827854333621,2196.6698996733953,2203.366010160921,2207.823641815475,2217.3920265222346,2225.926833936331,2236.2075991424335,2244.0364242313653,2253.259901102745,2262.485563401338,2270.9476925831664,2275.7069160962465,2279.662528582084,2286.7417971412497,2295.132724367531,2305.4959148039984,2312.5946675390733,2319.673925321501,2326.225118912236,2333.219372303169,2339.874740290381,2344.9767368164617,2350.8686648552825,2357.5875479214487,2364.6100527351095,2359.868062455062,2351.4705736704727,2341.1853174570665,2332.4522797744676,2326.9627390354576,2320.496093392653,2318.3418786138363,2322.4965170784308,2329.8452959286064,2335.82668739345,2346.6306343022657,2357.3665025754344,2371.400921695403,2385.0224848214775,2405.9951162274097,2437.0705874930572,2475.244525416418,2520.4560690567164,2559.9595816937713,2591.7434426624786,2616.5927780170337,2644.1036892237016,2667.7523288420252,2693.6888380853993,2715.8417632860805,2745.406291529593,2769.11626870294,2786.8814962869187,2797.5508110591977,2804.6005416694466,2810.195962824587,2813.2930513613637,2818.969870623915,2823.794503081713,2824.3755135797983,2826.310818036993,2833.770956135349,2844.213733002144,2851.3186661179916,2854.057609910761,2858.424804501427,2864.7184715960316,2869.2587281057968,2875.914529114762,2878.222156398748,2884.762191708912,2885.651492416223,2890.0016717037875,2893.7596418264757,2903.3409900134134,2913.448300657964,2924.450390071159,2932.1392406352834,2938.1215875399753,2946.761588756081,2955.884716839022,2967.8367181377434,2975.7295019398875,2990.0302725970932,2999.8776234735487,3007.532693350229,3007.106585394529,3008.434735416426,3011.7058303611097
394463,3,"Chicago, IL",msa,IL,1486.135985273932,1487.7972259868027,1492.1847391208603,1496.3240598376399,1501.2021008742909,1504.5280211038153,1507.4742646048435,1511.739381558232,1515.3133732640147,1520.3506844277788,1525.1818158674773,1530.8568337034128,1534.7557828797333,1537.2802255872928,1539.5835964392154,1540.799683889005,1542.6994616746003,1545.7355345740352,1551.1065209595913,1557.6849326217143,1560.4400227803326,1563.632665959151,1562.970201996737,1563.0676476534707,1564.8005369627786,1571.375282108313,1579.7620864661462,1586.1533692261094,1590.8608098742184,1592.335113112129,1593.5435144738412,1592.6490633756496,1597.1868728982477,1599.0624984948809,1603.9857214120357,1607.1032092243045,1611.155927063537,1615.0433176727736,1616.6611318558187,1619.3995048996583,1622.052942298908,1627.4959393101847,1632.1217825586682,1635.0947216729403,1635.4034725454487,1637.0432414567604,1641.0773980042345,1648.5014242761572,1653.1855959467189,1655.8900572748887,1658.8703643871936,1662.2641972130468,1666.4958470805198,1670.0036182353886,1673.9179281115614,1679.916098368308,1686.1732722037666,1692.6340558421452,1696.598785933627,1698.7195829561247,1702.3217090706867,1706.705661197315,1711.5283634283992,1702.5757275370959,1692.1817973900556,1683.1975240992715,1679.9922965752341,1677.4676842807235,1672.8020905045219,1666.0902292800847,1661.916467301553,1662.428993086631,1663.2318080293478,1668.4067250345965,1675.0645537375867,1691.6847901345238,1709.084608480738,1728.1775790802171,1744.2619802477423,1760.3731933376296,1778.0430121266613,1793.9183356037224,1809.7358788353208,1824.1279317495803,1838.163870204523,1849.0640843472572,1860.440029954571,1873.409160426713,1887.678688613686,1899.682176749981,1912.8616820174216,1923.710935327032,1935.1060555157928,1946.6127351884136,1956.449749918077,1965.6855385133667,1974.276705116755,1984.0294617580635,1994.2085832493935,2001.314041073235,2010.917886755785,2020.1926571394506,2030.148152050345,2040.6103532419058,2047.87433145595,2053.220683062663,2058.0718853048347,2067.520959643585,2079.240006068109,2089.382382706557,2097.3975772508124,2106.495642512773,2114.444651402417,2122.942650948633,2130.13047247662,2138.2953807918034,2148.5830784972363,2160.934998978027,2174.560679881932,2185.0881814376953,2194.3087519359865,2204.8342879439156,2216.8025584008883,2228.9695122734897,2240.7132682737642,2252.975128951973
394514,4,"Dallas, TX",msa,TX,1129.7484362222413,1133.6878587710046,1137.8234653181516,1145.046248827429,1150.0525283224295,1155.318010683183,1159.5425762678067,1164.336193635836,1169.7801950943362,1174.9899972556393,1180.528494164958,1186.0403238991005,1189.531876466426,1194.5631975758288,1198.0507901861674,1203.948634671394,1207.3723486749673,1212.1591726119343,1216.2054793593088,1221.6910558121647,1226.5569310403002,1232.0364123786505,1235.815675989887,1240.1713600648036,1246.5468099286468,1251.5046989808543,1259.2997788101952,1263.3892040491107,1271.484369506555,1274.8313989359247,1279.4353829617323,1282.80441012026,1286.8349806079427,1289.1297313550172,1294.724622203349,1299.01582625903,1304.8256669107313,1309.4192909774665,1311.2218753838672,1314.0901607314831,1314.7247569888268,1319.9144715252755,1323.929156409939,1327.732572750329,1330.3379878418484,1336.5424514546835,1341.8617852803034,1348.7339295213299,1351.4857068369176,1353.854824254138,1358.7112730852948,1363.830204745302,1369.139619966083,1372.8279335852192,1376.8358161914277,1381.1106242206865,1385.9234162556963,1388.4969694667911,1390.3180396202747,1391.303854155852,1394.1829544314032,1398.0304742338649,1404.4882586598185,1402.5524555746554,1398.597153078067,1393.6203887544293,1393.2583029784234,1395.230779890704,1400.6022286503278,1408.4929849386194,1416.3605305189194,1426.1574960491757,1436.2230104412643,1448.4733376254744,1458.3195832876174,1474.7119726407661,1494.6223056988138,1520.117951559721,1547.0020471020978,1575.3932309735355,1602.4869789047882,1625.2193256202042,1646.4010555174718,1665.187469500945,1681.1975590149216,1694.4647896697848,1706.0941001430917,1722.2644139329457,1737.8297799958143,1756.0095843618706,1768.1554836700566,1772.821532905163,1771.6681623440602,1767.214813841998,1766.2938768332938,1767.2397062360665,1771.2277156458579,1774.4988018345061,1781.5816865493273,1780.7622141246354,1782.0711535591984,1776.9315000608306,1776.1909537718382,1774.791891886118,1775.345574974071,1777.0795225248162,1778.658822432551,1779.0953976683218,1778.694557588347,1775.739505128889,1773.0612710024534,1771.692680202914,1773.3708930884002,1776.0125760327019,1774.4305192749653,1776.0226950589074,1778.5417206261777,1782.0156469429708,1783.7582333592,1785.39875521579,1786.3563049069567,1789.6491548699987,1791.0011082208302,1793.654749060178,1792.8090897407135,1793.4085729322899
394692,5,"Houston, TX",msa,TX,1275.4743898234315,1278.2133896262926,1283.2896073804193,1285.3080260596303,1287.0964175639378,1289.147060962788,1291.8396585493163,1295.8374800634385,1297.2668452457224,1298.2643136161403,1299.6350686956118,1300.3246557749899,1302.7474742413865,1303.0169190488932,1305.8686541182656,1304.905279960597,1302.6916284719975,1300.8788939421263,1301.6251237382558,1303.0169610204284,1300.6730829379958,1299.3173830291828,1295.875479291759,1296.1631217876823,1297.5933097110262,1303.4631481065746,1308.6217719275937,1309.7482470012994,1313.391793712747,1313.2097045441878,1315.1649740251025,1314.4079623639211,1325.3217091255497,1335.5726170775235,1348.0052154922248,1354.9705291730538,1359.0653513277027,1363.248370525397,1361.795758177801,1365.667049272255,1364.6904922803133,1368.221218445365,1369.265577707558,1372.2503864331484,1372.336759309797,1374.0891920573667,1376.6972824718832,1377.250514490737,1378.5839930224186,1376.071644991216,1380.328988689057,1383.355191657533,1389.0852773695515,1393.1166114213468,1397.448278913224,1401.4743974307153,1402.8236447949562,1403.233524569216,1402.5643270438293,1405.645297433009,1409.4730070517278,1415.5009742187465,1421.7635662360067,1417.773408541415,1408.8327709022337,1400.0402963873864,1399.8840800380926,1402.8453512049268,1406.6967087171925,1412.6217459592597,1418.7337381121404,1423.3792976994357,1428.6247862964808,1431.2256895376765,1437.7877283461783,1449.5977122712782,1468.477405833844,1491.0909840113209,1511.1646834755682,1531.694533102935,1549.0006234396747,1562.5798022314964,1573.995606043018,1584.390391754685,1593.7946197262218,1604.597362504093,1612.6058041640156,1623.7623128296557,1630.4179395277129,1638.6335774862198,1644.9018538042878,1649.4703022751107,1651.516456770049,1651.7800738726257,1652.5562833523402,1656.5370635744819,1662.5752446163087,1669.7023157342346,1677.5362905418153,1680.0846090411867,1684.4801913493154,1686.4595330048237,1688.8370514724068,1689.0619315700933,1688.8249404157257,1689.9954359500953,1692.583028716302,1696.2490172866042,1699.8825043432914,1701.9796441831134,1701.087427562037,1704.1103498731838,1708.7707173067845,1716.4205175498923,1719.1087266972947,1723.4803730250176,1729.4315788132772,1735.202736338545,1739.378256572144,1740.7359846748318,1740.6147977252153,1740.3009578269202,1741.7179099054956,1741.221469074957,1738.596853064086,1733.7482852468058
395209,6,"Washington, DC",msa,VA,1783.1713171199706,1788.434564825894,1793.0255708568066,1795.6507906860393,1798.1683298235532,1799.8133159479576,1801.631450498927,1801.5755025999606,1806.4912480584458,1810.8281925484787,1817.511883394169,1820.6970652739017,1823.5809289502463,1823.555385885276,1824.4684018017092,1825.3101019639976,1828.1000912122,1829.4375062231013,1832.4878743413328,1836.9984212198376,1839.1182180582891,1842.1130361328346,1843.374181625211,1847.4208286439564,1852.1487203691784,1860.1685966072826,1866.1857659480047,1870.6855994707812,1871.5111569517412,1875.0020263633078,1876.9430537181372,1879.387512067111,1883.434130676892,1887.6470773335982,1889.3244141831024,1890.4363501124988,1892.1894066824955,1895.3410225870853,1900.8375198672627,1905.8369402956378,1911.5617612935398,1916.2637530164254,1921.3661093534215,1928.3095990963022,1930.067433471718,1936.516861103531,1945.4087721877042,1954.5353897171774,1957.328113036845,1959.842962032329,1962.7505058897236,1966.9738104750982,1972.1795353780094,1977.3042914176488,1982.595577735205,1986.022090296765,1993.0747040376684,1996.2883872192897,1999.1866983893842,2001.7717730665452,2008.8645663417653,2014.9812449079232,2023.7455151956094,2017.759035306834,2007.7106597360662,1992.6929332233412,1983.1998221266722,1976.0847691587887,1967.992666637398,1962.2235440767442,1956.836943132583,1956.0636426676567,1960.7475485541,1966.589629174456,1970.9541195793408,1980.529753003081,1999.6194199870504,2027.7765403492979,2055.077745774988,2082.385417213241,2107.177362909417,2131.689987147211,2151.0809120598115,2166.38945662037,2174.0221461429246,2183.813348292468,2194.1716519961587,2210.9539652671715,2224.6733793528047,2238.441592525059,2251.5185021485963,2259.2355941826713,2265.1563661751775,2264.5343574116873,2266.3700414286777,2269.4872901471786,2275.99333147769,2285.0228460373855,2298.504538794864,2306.115248708781,2313.9100570681526,2315.117958562644,2320.774793736806,2328.5071057854975,2338.0267008354645,2350.734967266712,2360.879833647998,2370.2585004752577,2376.5001808917823,2384.83007720101,2392.1119811351823,2403.0037425715796,2414.0797327366386,2428.587622670994,2435.487519389391,2443.178143257034,2450.65568370832,2458.451172097344,2467.617529293876,2476.893957371846,2487.7772689266085,2494.5763447288646,2499.1943070960765,2501.715664801783,2503.7185623510322,2505.4222091961224
394974,7,"Philadelphia, PA",msa,PA,1276.499362275679,1279.4532976151888,1286.7553227692224,1289.582359221353,1292.5458162262232,1293.131949740261,1296.568027711685,1299.2917360771653,1303.457284395797,1306.804571194805,1307.0913681479549,1308.2148118425878,1308.5666381069118,1313.743431736107,1315.8363734043457,1319.7564596460377,1323.0065255620236,1329.3267831667863,1332.6487499764794,1335.6520759893658,1336.9510101672315,1339.620255829716,1345.3472443377696,1349.7048719651307,1353.8381642176605,1355.9331689204325,1359.820445185978,1363.2798902000634,1365.8092834213312,1365.928465578307,1368.768733024954,1372.3614089449331,1377.561215041714,1381.2012733079503,1383.991301829512,1390.0249543615182,1393.4588360173584,1397.640570667243,1400.1342485719892,1403.9813343215365,1409.5888189751413,1412.6295999090191,1415.9261703349848,1419.3474063191336,1424.129827245181,1430.1233698473704,1436.9480144866668,1440.2127745288697,1445.3194249726128,1447.564952247897,1453.2226089800267,1457.8662437801881,1461.8279879567206,1468.49670265207,1474.2279412017942,1479.6604675659337,1483.6345178892127,1487.2591485561388,1490.234337737934,1494.722836995175,1499.3046821631092,1506.1161223254385,1511.3680001984949,1511.7076189624627,1508.6206286640931,1506.4852795055149,1510.1664546491504,1512.7420847735605,1518.1863353022911,1522.7134169100207,1528.3387708173718,1532.9526055599395,1539.8736005605845,1546.1901492174402,1552.2435941847818,1564.1845301989974,1582.3857836562795,1600.7131912510172,1616.6785183437123,1634.0523128695938,1647.9278944142704,1664.2767159623684,1678.4043853762882,1698.7468608222255,1711.5792867833125,1723.8116620953112,1732.0250663123502,1742.8075242616264,1751.4970380286597,1762.3716933030084,1771.394684898751,1777.3973095669835,1781.3728566088055,1781.6975492273846,1785.4080881135744,1785.8905901134003,1792.2084546687834,1794.7730840196655,1805.1170998913215,1811.7028896721972,1819.0634250772273,1820.254361205191,1825.1670426343012,1830.8172962795031,1839.4521562598482,1845.3797274001392,1849.1934117389724,1850.881328727546,1854.6609304399042,1863.177646646154,1871.779226398321,1879.806006778478,1885.2401974885906,1891.179352435279,1896.7275821133653,1902.5975601549246,1907.474143986341,1915.4120539342632,1923.404232459211,1933.0063407526166,1939.2247871398538,1943.4231310557032,1944.1526727674743,1946.1703845462475,1949.7596811279113,1955.2598920203754
394856,8,"Miami, FL",msa,FL,1522.4143792955188,1531.244396052798,1538.6425012125123,1546.0946918717689,1554.0277133846996,1561.6350058010853,1568.5767782299931,1575.1013827320487,1583.4217014871533,1589.9404789125451,1599.2227990560377,1605.4461234803503,1611.6245761156763,1614.9444204420863,1618.4572667736597,1621.0242688238716,1620.5219384507266,1620.3707741077465,1620.8876789615092,1622.606607393025,1624.8101594568975,1626.7875658296712,1630.0793029262659,1632.2683244358498,1638.093512217736,1643.4544232521905,1652.0727256068678,1655.8481117197825,1658.89091675277,1662.02691883534,1666.284910210392,1672.3363754582092,1677.0466076615674,1680.5883821373006,1680.6214385255662,1683.2062985881482,1687.730039118361,1693.2216047532957,1697.4083306708487,1702.279021484817,1707.2412069764227,1713.0272524698273,1718.1972056910029,1723.7125303023856,1727.203062313447,1731.5394937804297,1736.2110914785508,1741.8086624902176,1744.4978051927867,1746.210566585805,1748.0763451879652,1752.204698840266,1757.4389996382338,1762.1040041544709,1766.7645868804937,1770.2001347021576,1775.8944144247055,1781.789922672665,1789.0410356559153,1794.8967985805875,1801.6109121310906,1809.1299663095324,1811.1163011812082,1807.3302456809972,1800.0484478375972,1798.1827603207025,1798.6140528204553,1801.0278975258761,1805.4393231414808,1818.7118270157218,1835.7715297483514,1852.4100124866995,1871.7409876011743,1898.3816873401095,1929.3116603148299,1965.3996850049812,2007.7129290750597,2058.0181933093213,2119.289109255071,2181.9963701640436,2241.1905670985325,2287.851936010247,2333.671114263626,2383.902887807554,2432.337396224277,2471.450304593757,2510.3695847933845,2551.712566669375,2589.890574369525,2614.878366579698,2629.662829752672,2636.1271057341373,2642.620156578649,2647.7538018832815,2655.592011770091,2663.689587442845,2669.61704209668,2675.572326180613,2679.826203357169,2683.676337420277,2688.4991186000166,2692.309793090963,2694.084958346699,2697.441079864682,2700.761830343398,2710.85064039575,2716.5731325112633,2717.781382361226,2719.3319735553764,2725.37968222154,2732.6744503171435,2738.3006543823976,2740.406133529924,2744.690566232137,2751.334539420288,2758.965429955899,2765.935029253684,2769.456164128195,2773.476668741923,2778.293532467931,2782.7286102178127,2784.041917809233,2783.708706615495,2782.818369331902,2783.294413075988,2783.7536167326257
394347,9,"Atlanta, GA",msa,GA,1061.1624738617104,1066.374291355519,1068.7132039124833,1074.8183652747366,1078.647480527975,1086.039434915772,1090.5088598039256,1095.5360428738077,1100.6927077999637,1106.2220150112066,1110.9090075202773,1116.3565432764296,1121.843966899689,1127.709683623153,1133.2346303816075,1136.4048365792466,1141.167149423655,1145.5834781326482,1152.3488682315406,1158.4802716043826,1164.0213225078915,1170.2058129886545,1174.6632374317119,1179.2161978873507,1184.2090883545848,1191.1575541236255,1199.5985685094304,1207.4029732302615,1215.1743828292822,1221.8546051813307,1229.6023614430137,1235.9485435793915,1243.1580155364106,1245.0968635928775,1251.5065400204082,1256.1997969631527,1264.7242049748672,1270.7312095337657,1277.3328371353275,1284.1523986697252,1290.8465605904435,1296.8583796466141,1302.6554791796937,1307.8882402864135,1312.6627465671088,1324.0380195204937,1334.271106692951,1343.9177856592135,1349.239077254991,1354.6002571936722,1360.0694549569832,1366.0164902228846,1371.7656219247497,1378.5281259694107,1384.3691908647374,1391.369419310041,1398.2176187472387,1402.1861154614435,1404.9319478234618,1408.7959005756031,1413.72112265967,1419.2453246106566,1426.8936752226477,1428.8547463779144,1429.7200367945843,1431.544041901722,1439.8497403584095,1448.3908908007684,1457.9981302791105,1469.4243710907776,1483.987749518774,1499.8016524815757,1518.5381596557645,1538.2225126429119,1556.2124337416042,1577.9369797975023,1602.532239692763,1634.642839453891,1666.2403310830489,1701.6749678694182,1733.1017420579683,1760.6940359113785,1780.3228403023331,1794.040816804349,1803.3812149530183,1810.4843623075333,1820.4430311886626,1832.4178482811994,1846.9795775457117,1859.5331964051632,1872.4117693592873,1878.7437587755512,1880.184069386404,1878.4820971723148,1880.0328298472614,1886.4714979991984,1889.1905816519695,1891.3606962222057,1898.0009473657135,1902.2602795259672,1904.1936957904102,1898.2860838322708,1894.9437312681498,1892.5773692856972,1889.9844013337795,1888.523870113147,1886.64707729565,1887.348333760013,1891.319172633701,1895.375474136269,1895.3734406189958,1896.1448206770785,1898.8622504382713,1903.7034549563657,1905.3533024778533,1908.0605342393367,1913.5870944028838,1919.9563591560852,1926.1145138582067,1928.594309880344,1930.598633505138,1932.7378339897034,1934.9312448845244,1936.8056025009407,1937.4250675458575,1940.067701177428
