ds,RegionID,RegionName,StateName,SizeRank,Rent_Forecast,yhat_lower_x,yhat_upper_x,Mortgage_Forecast,yhat_lower_y,yhat_upper_y,Rent_Mortgage_Ratio_Forecast,Affordability_Gap_Forecast
2015-01-31,394299,"Abilene, TX",TX,251,898.2378334784289,887.2117365703353,910.0838916264763,763.0421265535862,675.2851841047448,846.4311793526259,1.1771798728013587,-135.19570692484274
2015-02-28,394299,"Abilene, TX",TX,251,900.3595907553165,888.346348841989,912.2211046872283,758.5948536541422,673.4851941937784,848.2453049906146,1.1868780633276055,-141.76473710117432
2015-03-31,394299,"Abilene, TX",TX,251,903.3353946708626,891.3781424633668,914.6398060196536,774.3913995957885,687.9174566570246,861.2841216346417,1.1665101073467234,-128.9439950750741
2015-04-30,394299,"Abilene, TX",TX,251,904.4650922255023,893.3703931671487,915.6282760727047,777.1697708060068,684.8378895834848,861.709787236243,1.1637934544050483,-127.29532141949551
2015-05-31,394299,"Abilene, TX",TX,251,907.0839805881974,895.0300206167175,920.5638802869378,779.641496433113,692.0922388866741,865.123862057363,1.163462931024244,-127.44248415508434
2015-06-30,394299,"Abilene, TX",TX,251,908.3463242683075,895.5816227464423,920.2837899298562,783.0671929110625,699.4524163936129,874.589578943189,1.1599851615434407,-125.27913135724498
2015-07-31,394299,"Abilene, TX",TX,251,907.595527040251,896.5121394582604,919.2122209968984,788.0517358522034,703.6334920638802,878.9843719169374,1.1516953592631483,-119.54379118804763
2015-08-31,394299,"Abilene, TX",TX,251,906.5720160317012,894.515585386459,918.8947993651562,781.9282563272805,692.218037846279,866.7579801883775,1.1594056215462438,-124.64375970442075
2015-09-30,394299,"Abilene, TX",TX,251,909.7220067146939,897.546886825776,921.1778600922395,792.6598133661555,700.769780901722,874.182767266705,1.147682765512503,-117.06219334853836
2015-10-31,394299,"Abilene, TX",TX,251,911.6202303485798,899.6527516578321,924.138166336672,810.3712444067629,725.3807307450256,895.5861608908419,1.1249414840921914,-101.24898594181684
2015-11-30,394299,"Abilene, TX",TX,251,915.699753663501,904.5862808156016,928.3842607488177,809.2830739075824,723.3209511416088,895.7228236463359,1.1314950024125563,-106.41667975591861
